model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.59383091927,0.0938675920212,0.963918535229,0.0441905889304,0.00460568701172,1.0,1.5962657928466797
abs_sgd,6.2135134697,0.0914614510167,0.0,0.0,nan,0.0,6.206111907958984
clip_adam,1.88883781433,0.25517204908,0.962786031348,0.0456127789862,0.00459457324219,1.0,2.2559292316436768
clip_sgd,6.11234645844,0.0256938547541,0.0,0.0,nan,0.0,6.071137189865112
update_rule,0.490975952148,0.0810271454799,1.0,0.0,0.00464896044922,1.0,0.3967611789703369
