model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.9777712822,0.165907268962,0.981959267615,0.0360814647709,0.00486312304687,1.0,2.0813522338867188
abs_sgd,6.21077370644,0.0607491782897,0.0,0.0,nan,0.0,6.1223626136779785
clip_adam,1.95400562286,0.0916158250765,1.0,0.0,0.00486320703125,1.0,1.9665312767028809
clip_sgd,6.05499773026,0.126433204228,0.0,0.0,nan,0.0,6.207930326461792
update_rule,0.503872203827,0.0853514197985,1.0,0.0,0.00486688232422,1.0,0.3963806629180908
