model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.68730216026,0.449887594817,0.890646547817,0.0789739294288,0.00461998144531,1.0,2.3996236324310303
abs_sgd,6.34748973846,0.0917986907505,0.0,0.0,nan,0.0,6.495595455169678
clip_adam,1.55906705856,0.554161166467,0.874999707835,0.0421147399658,0.00462245556641,0.909796338073,2.5718863010406494
clip_sgd,6.15660362244,0.137109959834,0.0,0.0,nan,0.0,5.923971652984619
update_rule,1.04781932831,0.195405537214,1.0,0.0,0.00465384472656,1.0,0.9714267253875732
