model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.35366015434,0.219544959902,0.915452639802,0.0731284573761,0.00458811279297,0.972163211932,1.7061867713928223
abs_sgd,3.90989093781,1.87771125999,0.588120160762,0.0261447356957,0.00478086816406,0.631215102589,0.8569488525390625
clip_adam,1.11649494171,0.404138120737,0.789245488641,0.369318554486,0.00458773046875,0.972163211932,1.3772494792938232
clip_sgd,5.50483632088,1.00387450256,0.541713605418,0.0930054264982,0.00477082226563,0.635778470489,3.5047121047973633
update_rule,0.812220191956,0.178477892315,0.821112033569,0.0905813393948,0.00462476611328,0.92694833065,0.6008906364440918
