model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi
abs_adam,0.830325569425,0.200100691632,0.655466379158,0.0373666884748,0.0270694887477,0.686111938947
abs_sgd,0.805326700211,0.193103508243,0.664553014957,0.0276213473505,0.0270744843736,0.689239182228
clip_adam,0.791765485491,0.0760442927629,0.662652687155,0.0370923339341,0.0270669740643,0.686111938947
clip_sgd,0.850769042969,0.196429455921,0.647386573081,0.0352450508023,0.0270672420061,0.686111938947
update_rule,0.200738430023,0.0212493971094,0.663099436195,0.0373898320583,0.0270710249473,0.686111938947
