model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,2.49242730141,0.12189797351,0.963918535229,0.0441905889304,0.00488108203125,1.0,2.4235458374023438
abs_sgd,6.26234312057,0.00900895167021,0.0,0.0,nan,0.0,6.26586651802063
clip_adam,2.82455811501,0.274549692313,0.981959267615,0.0360814647709,0.00486669580078,1.0,3.3362467288970947
clip_sgd,6.04232387543,0.133730675241,0.0,0.0,nan,0.0,6.1665403842926025
update_rule,0.650389623642,0.292400782261,0.915600518127,0.10418588472,0.00486917773437,1.0,0.8582823276519775
