model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.75123615265,0.472529107726,0.934878848969,0.0908539796893,0.00406126586914,1.0,2.333698272705078
abs_sgd,6.22791643143,0.140525114586,0.0,0.0,nan,0.0,6.178771257400513
clip_adam,2.03780755997,0.677481186744,0.929902136315,0.100208050651,0.00405534545898,1.0,2.116915225982666
clip_sgd,5.99572434425,0.112257572269,0.0,0.0,nan,0.0,5.9072105884552
update_rule,2.62838602066,2.52887768615,0.871154508684,0.178442070497,0.00419175878906,0.809604072088,6.382209777832031
