model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.61705527306,0.202083833653,0.980634777132,0.0387304457369,0.0048620546875,1.0,1.868516206741333
abs_sgd,6.22876520157,0.0650473393654,0.266388484887,0.0370374883623,0.00513795507812,0.26408917445,6.335677862167358
clip_adam,1.79431591034,0.228723821632,0.99860692027,0.00278615945985,0.00486213330078,0.99303460135,1.6660270690917969
clip_sgd,6.00249195099,0.0520462327412,0.0788124662147,0.0966442544301,nan,0.0,6.073798179626465
update_rule,0.499097204208,0.142149020223,0.978427112824,0.0397547108824,0.00486299658203,1.0,0.3219625949859619
