model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,4.1915119648,1.57742481173,1.0,0.0,0.00499551757812,1.0,6.342691898345947
abs_sgd,6.27896308899,0.218404639172,0.0,0.0,nan,0.0,6.304757595062256
clip_adam,4.46558489799,1.2081752777,1.0,0.0,0.00498592236328,1.0,4.8039000034332275
clip_sgd,6.08622016907,0.276066807265,0.0,0.0,nan,0.0,5.540879964828491
update_rule,7.21039190292,0.0656009200979,0.707612686497,0.0923460604563,0.00537431738281,0.557599773209,7.244735479354858
