model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi
abs_adam,0.678353738785,0.124693621293,0.782423304212,0.0782361281511,0.0273659108826,0.890313842014
abs_sgd,1.81353678703,0.0380190074546,0.868520197593,0.0190685810809,0.0281997147817,0.830383035431
clip_adam,0.83131737709,0.19650585827,0.688166700985,0.0498802261689,0.0275329174639,0.627846614713
clip_sgd,1.8350643158,0.118206919508,0.840833280853,0.048871195289,0.0283918744907,0.878054488134
update_rule,0.672473049164,0.492104864504,0.703974020078,0.0223893153954,0.0298542519221,0.748752650869
