model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi
abs_adam,1.00826678276,0.303769327296,0.958923482687,0.000261563088687,0.0275581702408,0.959446608865
abs_sgd,1.8344083786,0.0338996774352,0.924313259849,0.0303283013795,0.0298396588453,0.891904723279
clip_adam,0.896463918686,0.26856854421,0.94580706135,0.0269533310165,0.027549312531,0.959446608865
clip_sgd,1.86319208145,0.0906852713952,0.929889544706,0.0299533929824,0.0300457666791,0.878641015372
update_rule,1.90418248177,0.0846315430947,0.792483764064,0.0420991338292,0.0308205311747,0.791887784873
