model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi
abs_adam,0.729408407211,0.08149355953,0.916347892126,0.0858708530814,0.0275660425303,0.959446608865
abs_sgd,1.83185429573,0.0416509401959,0.905668364784,0.0537990392159,0.0295571062084,0.870019750973
clip_adam,0.753762483597,0.0689170529183,0.910660268745,0.0837433048654,0.0275302546149,0.959446608865
clip_sgd,1.91112341881,0.0359452156655,0.935406128762,0.0321032408591,0.0302482649961,0.879115415509
update_rule,1.89418101311,0.0777382715359,0.777384167548,0.0508765075965,0.0307579210069,0.735843673046
