model,mean time,std time,mean nmi,std nmi,best_cost,best_nmi,best_time
abs_adam,1.96743979454,0.763634530754,0.96172259679,0.0469000671316,0.0046046328125,1.0,2.5520360469818115
abs_sgd,6.26517271996,0.122743897779,0.0,0.0,nan,0.0,6.320582628250122
clip_adam,1.69403309822,0.349224886648,0.918813050948,0.0441950636897,0.00460974658203,1.0,2.1139440536499023
clip_sgd,6.06629943848,0.0587134460264,0.0,0.0,nan,0.0,6.036366701126099
update_rule,0.76723074913,0.133649033008,1.0,0.0,0.00465296826172,1.0,0.5746009349822998
